BHLH148 P0034C11.1 0.538
BHLH148 OS01T0821300-01 0.402
BHLH148 WRKY24 0.685
BHLH148 DREB1G 0.548
BHLH148 OsJ_07960 0.608
BHLH148 TIFY8 0.570
BHLH148 ZFP36 0.802
BHLH148 ERF24 0.402
BHLH148 OS05T0199800-01 0.414
BHLH148 OS07T0143200-00 0.520
BHLH148 OS05T0574900-01 0.584
BURP3 RAB21 0.402
BURP3 ERF24 0.402
BURP3 RAB16D 0.521
CIPK14 OsJ_11413 0.404
CIPK14 OsJ_16882 0.475
CIPK14 ERF24 0.408
CIPK21 OsJ_05230 0.532
CIPK21 ERF24 0.430
CIPK21 OS11T0207200-01 0.489
CYP707A5 WRKY24 0.515
CYP707A5 OS09T0530275-00 0.467
CYP707A5 MCSU3 0.575
CYP707A5 ERF24 0.711
CYP99A2 OsJ_02543 0.548
CYP99A2 HSFC1A 0.548
CYP99A2 CYP99A3 0.831
CYP99A2 ERF24 0.548
CYP99A3 OsJ_02543 0.548
CYP99A3 HSFC1A 0.548
CYP99A3 ERF24 0.548
DREB1B DREB1G 0.866
DREB1B ERF24 0.929
DREB1G ERF24 0.400
DREB1G OS07T0143200-00 0.564
DREB1G TIFY8 0.612
DREB1G OS05T0574900-01 0.617
DREB2D HOX13 0.767
DREB2D HOX17 0.768
DREB2D ROC4 0.767
DREB2D OSH71 0.689
DREB2D ERF24 0.478
DREB2D OSH45 0.768
ERF24 OS01T0140700-00 0.404
ERF24 OS01T0185900-01 0.518
ERF24 P0034C11.1 0.479
ERF24 RAA1 0.532
ERF24 OsJ_02543 0.616
ERF24 HSFC1A 0.616
ERF24 OsJ_02889 0.599
ERF24 OS01T0693400-01 0.427
ERF24 OsJ_03777 0.584
ERF24 OS01T0819200-00 0.431
ERF24 OS01T0819300-01 0.431
ERF24 OS01T0821300-01 0.451
ERF24 WRKY24 0.525
ERF24 OsJ_04706 0.533
ERF24 OsJ_18736 0.514
ERF24 OS01T0944500-00 0.514
ERF24 IRO2 0.400
ERF24 OsJ_05230 0.408
ERF24 PHR3 0.642
ERF24 TUB5 0.479
ERF24 OS02T0202000-00 0.608
ERF24 OS02T0203000-00 0.451
ERF24 OS02T0610500-01 0.531
ERF24 OsJ_07960 0.400
ERF24 TIFY8 0.473
ERF24 HOS66 0.404
ERF24 HOX13 0.471
ERF24 ZFP36 0.637
ERF24 OsJ_11413 0.479
ERF24 RCABP89 0.414
ERF24 YAB2 0.438
ERF24 TUBB8 0.400
ERF24 OS03T0764100-01 0.499
ERF24 WRKY51 0.600
ERF24 OS04T0444300-01 0.566
ERF24 HOX17 0.476
ERF24 ROC4 0.472
ERF24 OS04T0655700-00 0.536
ERF24 OS04T0678400-01 0.532
ERF24 OsJ_16882 0.479
ERF24 OSH71 0.400
ERF24 OS05T0199800-01 0.586
ERF24 WRKY45-1 0.533
ERF24 OS05T0338933-00 0.400
ERF24 P0017D10.7 0.412
ERF24 OS05T0480200-01 0.531
ERF24 OS05T0495900-01 0.642
ERF24 P0560C03.2 0.518
ERF24 OsJ_19477 0.533
ERF24 OS05T0574900-01 0.482
ERF24 OS06T0125000-00 0.688
ERF24 OS06T0181700-01 0.608
ERF24 OS06T0195800-01 0.400
ERF24 P0690H04.1 0.400
ERF24 OS06T0264200-00 0.416
ERF24 OS06T0267500-01 0.531
ERF24 OsJ_21903 0.608
ERF24 NFYC4 0.533
ERF24 MCSU3 0.522
ERF24 OS07T0143200-00 0.400
ERF24 OS07T0209600-00 0.400
ERF24 OS07T0410300-01 0.400
ERF24 OS07T0508700-00 0.600
ERF24 OS08T0126000-00 0.400
ERF24 OS08T0249000-01 0.416
ERF24 OSH45 0.477
ERF24 P0470B03.6 0.414
ERF24 SAP11 0.575
ERF24 OS09T0243200-01 0.400
ERF24 OsJ_28937 0.441
ERF24 OS09T0437100-00 0.400
ERF24 NAC5 0.400
ERF24 OS12T0106200-01 0.400
ERF24 OsJ_34943 0.400
ERF24 RAB21 0.400
ERF24 OS10T0556200-01 0.416
ERF24 OS10T0560400-01 0.416
ERF24 OS11T0207200-01 0.422
ERF24 OsJ_30162 0.431
ERF24 OS09T0530300-01 0.440
ERF24 OS09T0530275-00 0.440
ERF24 RAB16D 0.475
HOX13 OSH71 0.691
HOX13 OSH45 0.770
HOX17 WRKY45-1 0.465
HOX17 OSH71 0.744
HOX17 OSH45 0.772
HSFC1A OsJ_02543 0.763
HSFC1A OS09T0530300-01 0.440
HSFC1A OS09T0530275-00 0.440
IRO2 OS07T0410300-01 0.400
IRO2 PHR3 0.404
NAC5 OsJ_11413 0.404
NAC5 OsJ_16882 0.418
NFYC4 RAA1 0.639
NFYC4 OsJ_04706 0.641
NFYC4 OS02T0203000-00 0.605
NFYC4 OS02T0610500-01 0.718
NFYC4 RCABP89 0.593
NFYC4 OS04T0678400-01 0.640
NFYC4 OS05T0574900-01 0.460
NFYC4 OS06T0264200-00 0.607
NFYC4 OS07T0508700-00 0.467
NFYC4 OS10T0556200-01 0.596
NFYC4 OS10T0560400-01 0.608
NFYC4 OS08T0249000-01 0.684
OS01T0185900-01 OS07T0209600-00 0.465
OS01T0185900-01 OS03T0764100-01 0.465
OS01T0185900-01 P0470B03.6 0.505
OS01T0185900-01 YAB2 0.523
OS01T0185900-01 P0560C03.2 0.566
OS01T0185900-01 OS05T0199800-01 0.608
OS01T0185900-01 ZFP36 0.620
OS01T0185900-01 OS07T0508700-00 0.620
OS01T0185900-01 OsJ_19477 0.634
OS01T0693400-01 OS07T0508700-00 0.403
OS01T0693400-01 ZFP36 0.403
OS01T0693400-01 OS05T0199800-01 0.403
OS01T0693400-01 P0017D10.7 0.403
OS01T0693400-01 OS05T0480200-01 0.516
OS01T0819200-00 OsJ_02889 0.599
OS01T0819200-00 OsJ_03777 0.584
OS01T0819200-00 OS01T0944500-00 0.518
OS01T0819200-00 OsJ_18736 0.518
OS01T0819200-00 OS05T0495900-01 0.642
OS01T0819300-01 OsJ_02889 0.599
OS01T0819300-01 OsJ_03777 0.584
OS01T0819300-01 OsJ_18736 0.518
OS01T0819300-01 OS01T0944500-00 0.518
OS01T0819300-01 OS05T0495900-01 0.642
OS01T0821300-01 RAB16D 0.405
OS01T0821300-01 P0690H04.1 0.568
OS01T0821300-01 OS09T0437100-00 0.569
OS01T0821300-01 OS09T0243200-01 0.569
OS01T0821300-01 OS05T0338933-00 0.569
OS01T0821300-01 OS08T0126000-00 0.569
OS01T0821300-01 OS06T0195800-01 0.569
OS01T0821300-01 OsJ_34943 0.571
OS01T0821300-01 OS12T0106200-01 0.571
OS01T0944500-00 OsJ_02889 0.618
OS01T0944500-00 OsJ_30162 0.518
OS02T0202000-00 OsJ_05230 0.437
OS02T0203000-00 RAA1 0.513
OS02T0203000-00 OsJ_04706 0.603
OS02T0203000-00 OsJ_16882 0.410
OS02T0203000-00 OS07T0209600-00 0.410
OS02T0203000-00 ZFP36 0.410
OS02T0203000-00 OS03T0764100-01 0.410
OS02T0203000-00 P0470B03.6 0.410
OS02T0203000-00 OS07T0143200-00 0.513
OS02T0203000-00 OS10T0556200-01 0.530
OS02T0203000-00 OS04T0678400-01 0.601
OS02T0203000-00 OS02T0610500-01 0.675
OS02T0203000-00 OS08T0249000-01 0.683
OS02T0203000-00 OS10T0560400-01 0.684
OS02T0203000-00 OS06T0264200-00 0.717
OS02T0610500-01 RAA1 0.636
OS02T0610500-01 OsJ_04706 0.640
OS02T0610500-01 SAP11 0.523
OS02T0610500-01 RCABP89 0.531
OS02T0610500-01 OS10T0556200-01 0.594
OS02T0610500-01 OS04T0678400-01 0.637
OS03T0764100-01 YAB2 0.404
OS03T0764100-01 P0560C03.2 0.465
OS03T0764100-01 WRKY45-1 0.520
OS03T0764100-01 OsJ_28937 0.528
OS03T0764100-01 OS05T0199800-01 0.535
OS03T0764100-01 OS07T0508700-00 0.566
OS03T0764100-01 WRKY51 0.573
OS03T0764100-01 OsJ_19477 0.618
OS03T0764100-01 SAP11 0.652
OS04T0678400-01 RAA1 0.638
OS04T0678400-01 OsJ_04706 0.640
OS04T0678400-01 RCABP89 0.591
OS04T0678400-01 WRKY45-1 0.531
OS04T0678400-01 OS08T0249000-01 0.594
OS04T0678400-01 OS06T0264200-00 0.594
OS04T0678400-01 OS10T0560400-01 0.595
OS04T0678400-01 OS10T0556200-01 0.595
OS05T0199800-01 ZFP36 0.674
OS05T0199800-01 YAB2 0.592
OS05T0199800-01 WRKY51 0.535
OS05T0199800-01 P0560C03.2 0.403
OS05T0199800-01 OS07T0209600-00 0.535
OS05T0199800-01 OsJ_28937 0.578
OS05T0199800-01 P0470B03.6 0.592
OS05T0199800-01 OsJ_19477 0.624
OS05T0199800-01 WRKY45-1 0.625
OS05T0199800-01 OS07T0508700-00 0.673
OS05T0338933-00 RAB16D 0.471
OS05T0338933-00 OS12T0106200-01 0.570
OS05T0338933-00 OsJ_34943 0.570
OS05T0338933-00 P0690H04.1 0.585
OS05T0338933-00 OS09T0243200-01 0.586
OS05T0338933-00 OS08T0126000-00 0.586
OS05T0338933-00 OS09T0437100-00 0.586
OS05T0338933-00 OS06T0195800-01 0.603
OS05T0480200-01 P0034C11.1 0.598
